"","date","time","size","r_version","r_arch","r_os","package","version","country","ip_id"
1,2014-07-08,00:54:41,80589,3.1.0,x86_64,mingw32,htmltools,0.2.4,US,1
2,2014-07-08,00:59:53,321767,3.1.0,x86_64,mingw32,tseries,0.10-32,US,2
3,2014-07-08,00:47:13,748063,3.1.0,x86_64,linux-gnu,party,1.0-15,US,3
4,2014-07-08,00:48:05,606104,3.1.0,x86_64,linux-gnu,Hmisc,3.14-4,US,3
5,2014-07-08,00:46:50,79825,3.0.2,x86_64,linux-gnu,digest,0.6.4,CA,4
6,2014-07-08,00:48:04,77681,3.1.0,x86_64,linux-gnu,randomForest,4.6-7,US,3
7,2014-07-08,00:48:35,93754,3.1.0,x86_64,linux-gnu,plyr,1.8.1,US,3
8,2014-07-08,00:47:30,28216,3.0.2,x86_64,linux-gnu,whisker,0.3-2,US,5
9,2014-07-08,00:54:58,5928,NA,NA,NA,Rcpp,0.10.4,CN,6
10,2014-07-08,00:15:35,2206029,3.0.2,x86_64,linux-gnu,hflights,0.1,US,7